Date,Open,High,Low,Close,Volume,Turnover
2020-05-22,8488.75,8545.75,8440.8,8518.75,,
2020-05-26,8573.2,8615.5,8536.4,8559.05,,
2020-05-27,8588.0,8630.5,8480.1,8622.2,,
2020-05-28,8643.45,8809.4,8603.55,8788.2,,
2020-05-29,8731.0,9014.15,8704.7,8987.25,,
2020-06-01,9061.7,9198.95,9051.3,9151.5,,
2020-06-02,9196.45,9242.45,9129.95,9153.85,,
2020-06-03,9249.45,9297.9,9170.65,9192.7,,
2020-06-04,9198.65,9270.4,9124.7,9206.35,,
2020-06-05,9264.2,9269.2,9167.35,9209.25,,
2020-06-08,9301.45,9301.6,9182.45,9201.45,,
2020-06-09,9217.85,9306.85,9138.25,9156.95,,
2020-06-10,9174.45,9196.0,9097.85,9125.45,,
2020-06-11,9126.25,9167.0,8973.4,8987.15,,
2020-06-12,8715.2,9034.05,8712.3,9019.55,,
2020-06-15,9025.05,9050.85,8879.55,8907.2,,
2020-06-16,9032.2,9048.6,8855.9,8927.1,,
2020-06-17,8908.95,8976.65,8894.45,8918.2,,
2020-06-18,8908.95,8973.7,8878.5,8949.45,,
2020-06-19,8980.85,9029.8,8935.95,9012.8,,
2020-06-22,9070.9,9166.7,9047.05,9140.2,,
2020-06-23,9176.2,9271.05,9161.6,9259.6,,
2020-06-24,9303.5,9411.2,9233.35,9253.65,,
2020-06-25,9205.1,9312.75,9176.45,9252.9,,
2020-06-26,9328.4,9371.5,9283.5,9310.3,,
2020-06-29,9294.1,9306.9,9206.45,9229.6,,
2020-06-30,9297.45,9316.0,9242.15,9253.45,,
2020-07-01,9280.65,9283.1,9229.75,9252.55,,
2020-07-02,9287.55,9383.95,9281.4,9372.3,,
2020-07-03,9411.4,9475.7,9396.95,9463.65,,
2020-07-06,9520.55,9549.1,9479.7,9522.8,,
2020-07-07,9556.95,9597.3,9483.65,9585.95,,
2020-07-08,9604.55,9620.5,9455.5,9475.3,,
2020-07-09,9501.25,9524.55,9437.55,9473.15,,
2020-07-10,9452.7,9494.45,9427.15,9471.95,,
2020-07-13,9525.85,9598.65,9519.55,9587.1,,
2020-07-14,9571.65,9585.05,9444.5,9455.05,,
2020-07-15,9506.65,9602.2,9498.75,9519.4,,
2020-07-16,9613.9,9625.25,9514.6,9610.45,,
2020-07-17,9638.6,9730.9,9628.25,9694.8,,
2020-07-20,9758.2,9844.15,9726.25,9825.8,,
2020-07-21,9875.45,9906.35,9799.8,9807.3,,
2020-07-22,9839.7,9841.6,9682.3,9731.65,,
2020-07-23,9747.0,9813.1,9726.45,9800.25,,
2020-07-24,9750.25,9801.2,9686.5,9789.65,,
2020-07-27,9815.7,9854.55,9729.6,9815.4,,
2020-07-28,9841.3,9938.9,9837.1,9928.45,,
2020-07-29,9920.05,9974.2,9871.1,9899.9,,
2020-07-30,9944.6,9996.3,9862.1,9882.3,,
2020-07-31,9922.15,9980.95,9872.7,9905.2,,
2020-08-03,9932.0,9967.05,9835.6,9849.0,,
2020-08-04,9911.55,9933.75,9852.05,9877.1,,
2020-08-05,9916.05,9954.25,9865.25,9904.25,,
2020-08-06,9958.55,10011.55,9933.4,9998.85,,
2020-08-07,9994.2,10081.2,9976.4,10053.25,,
2020-08-10,10120.6,10143.05,10076.3,10091.55,,
2020-08-11,10130.55,10196.9,10072.15,10080.85,,
2020-08-12,10074.35,10148.0,10052.25,10138.95,,
2020-08-13,10171.5,10212.05,10136.95,10156.35,,
2020-08-14,10189.3,10190.25,10022.7,10049.05,,
2020-08-17,10123.15,10229.85,10056.85,10212.95,,
2020-08-18,10233.9,10315.45,10231.2,10290.9,,
2020-08-19,10331.2,10342.3,10256.45,10265.85,,
2020-08-20,10218.65,10306.75,10185.9,10281.1,,
2020-08-21,10366.75,10402.0,10331.65,10373.4,,
2020-08-24,10410.2,10451.1,10366.35,10380.5,,
2020-08-25,10419.75,10431.35,10337.45,10376.45,,
2020-08-26,10428.7,10433.6,10374.95,10411.65,,
2020-08-27,10461.35,10464.1,10375.95,10400.3,,
2020-08-28,10443.6,10451.35,10338.75,10349.25,,
2020-08-31,10397.75,10410.35,10031.0,10072.65,,
2020-09-01,10122.35,10177.6,10050.65,10142.5,,
2020-09-02,10175.95,10240.95,10140.25,10204.4,,
2020-09-03,10243.35,10316.8,10224.2,10296.9,,
2020-09-04,10171.05,10260.6,10137.5,10158.4,,
2020-09-07,10187.9,10223.25,10069.45,10207.6,,
2020-09-08,10220.65,10285.65,10163.35,10184.7,,
2020-09-09,10109.25,10196.9,10095.65,10180.35,,
2020-09-10,10234.65,10249.4,10154.7,10237.05,,
2020-09-11,10226.25,10304.7,10225.75,10294.2,,
2020-09-14,10367.0,10476.55,10346.25,10428.5,,
2020-09-15,10450.85,10475.65,10398.55,10423.15,,
2020-09-16,10442.8,10493.8,10425.75,10480.8,,
2020-09-17,10454.45,10517.7,10435.2,10453.55,,
2020-09-18,10500.95,10506.0,10430.3,10458.3,,
2020-09-21,10479.0,10507.2,10181.05,10213.85,,
2020-09-22,10242.0,10258.85,10010.35,10167.0,,
2020-09-23,10221.1,10271.85,10092.55,10172.95,,
2020-09-24,10096.5,10096.5,9922.0,9941.55,,
2020-09-25,10026.3,10212.4,10010.4,10189.95,,
2020-09-28,10268.7,10361.0,10211.1,10346.95,,
2020-09-29,10402.25,10450.8,10300.85,10312.2,,
2020-09-30,10337.0,10425.75,10308.5,10392.6,,
2020-10-01,10483.35,10498.75,10454.6,10479.05,,
2020-10-05,10554.35,10588.8,10506.55,10569.15,,
2020-10-06,10641.05,10644.45,10569.0,10604.1,,
2020-10-07,10622.4,10702.15,10598.55,10687.45,,
2020-10-08,10778.75,10823.75,10719.7,10763.8,,
2020-10-09,10774.9,10803.4,10718.5,10749.75,,
2020-10-12,10809.65,10818.45,10709.6,10756.0,,
2020-10-13,10766.55,10843.6,10729.0,10767.75,,
